Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0029114,0.0090469,0.098327,0,0,0,13.967,0.13646,-9.7018E-05,0.00035665,0.17183,-0.00092667,0.2882,0,0,0,0,0,0,package://dog1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog1/meshes/base_link.STL,,下壳-1;上壳-1;上壳盖-1;电池-2;电池-1;头部-1/头部下盖板-2;头部-1/头部上盖板-1;头部-1/头部-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_fr_hip,0.050025,-0.02751,-0.00086592,0,0,0,5.2076,0.0065222,-1.939E-06,2.8978E-05,0.0084515,0.00011498,0.0050549,0,0,0,0,0,0,package://dog1/meshes/Link_fr_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dog1/meshes/Link_fr_hip.STL,,右前腿组件（3）-1/三模组组件-1,fr_hip_i,fr_hip_joint,joint_fr_hip,revolute,0.225,-0.075,0.09,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Link_fr_thigh,-0.056189,-0.021572,-0.10924,0,0,0,1.0799,0.0115,0.0001699,-0.0047945,0.014858,0.00039391,0.0034936,0,0,0,0,0,0,package://dog1/meshes/Link_fr_thigh.STL,0.53333,0.85098,0.82353,1,0,0,0,0,0,0,package://dog1/meshes/Link_fr_thigh.STL,,右前腿组件（3）-1/0000557233-1;右前腿组件（3）-1/0000557232-1;右前腿组件（3）-1/0000557236-1,fr_thigh_i,fr_thigh_joint,joint_fr_thigh,revolute,0.082498,-0.098698,-0.003211,0,0,0,Link_fr_hip,0,0.99947,0.032517,0,0,0,0,,,,,,,,
Link_fr_calf,0.078661,0.0033717,-0.15626,0,0,0,0.68278,0.0042709,-3.1725E-05,0.0014753,0.0049134,9.2907E-05,0.00076574,0,0,0,0,0,0,package://dog1/meshes/Link_fr_calf.STL,0.53333,0.85098,0.82353,1,0,0,0,0,0,0,package://dog1/meshes/Link_fr_calf.STL,,右前腿组件（3）-1/0000557228-1;右前腿组件（3）-1/0000557219-1,fr_calf_i,fr_calf_joint,joint_fr_calf,revolute,-0.10638,-0.017018,-0.29188,0,0,0,Link_fr_thigh,0,0.99947,0.032517,0,0,0,0,,,,,,,,
Link_fl_hip,0.050025,0.027523,-2.9067E-05,0,0,0,5.2076,0.0065222,9.957E-07,-2.9026E-05,0.0084554,4.3467E-06,0.005051,0,0,0,0,0,0,package://dog1/meshes/Link_fl_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dog1/meshes/Link_fl_hip.STL,,左前腿组件2-1/三模组组件-1,fl_hip_i,fl_hip_joint,joint_fl_hip,revolute,0.225,0.075,0.09,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Link_fl_thigh,-0.023612,0.025112,-0.12115,0,0,0,1.0799,0.013482,-6.4816E-06,-0.0017863,0.014871,-2.6756E-05,0.0014982,0,0,0,0,0,0,package://dog1/meshes/Link_fl_thigh.STL,0.53333,0.85098,0.82353,1,0,0,0,0,0,0,package://dog1/meshes/Link_fl_thigh.STL,,左前腿组件2-1/大腿外侧-1;左前腿组件2-1/大腿内侧-1;左前腿组件2-1/大腿连杆-1,fl_thigh_i,fl_thigh_joint,joint_fl_thigh,revolute,0.082498,0.09875,0,0,0,0,Link_fl_hip,0,-1,0,0,0,0,0,,,,,,,,
Link_fl_calf,0.17024,0.0017114,-0.04039,0,0,0,0.68278,0.00076312,-4.2679E-05,0.0014744,0.0049149,1.4641E-05,0.0042717,0,0,0,0,0,0,package://dog1/meshes/Link_fl_calf.STL,0.53333,0.85098,0.82353,1,0,0,0,0,0,0,package://dog1/meshes/Link_fl_calf.STL,,左前腿组件2-1/小腿改-1;左前腿组件2-1/小腿连接臂-1,fl_calf_i,fl_calf_joint,joint_fl_calf,revolute,-0.017956,0.0265,-0.30948,0,0,0,Link_fl_thigh,0,-1,0,0,0,0,0,,,,,,,,
Link_hl_hip,-0.050025,0.027523,2.9067E-05,0,0,0,5.2076,0.0065222,-9.957E-07,-2.9026E-05,0.0084554,-4.3467E-06,0.005051,0,0,0,0,0,0,package://dog1/meshes/Link_hl_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dog1/meshes/Link_hl_hip.STL,,左前腿组件2-2/三模组组件-1,hl_hip_i,hl_hip_joint,joint_hl_hip,revolute,-0.225,0.075,0.09,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Link_hl_thigh,-0.071808,0.025112,-0.10067,0,0,0,1.0799,0.010084,-1.6972E-05,-0.005689,0.014871,-2.1675E-05,0.0048961,0,0,0,0,0,0,package://dog1/meshes/Link_hl_thigh.STL,0.53333,0.85098,0.82353,1,0,0,0,0,0,0,package://dog1/meshes/Link_hl_thigh.STL,,左前腿组件2-2/大腿外侧-1;左前腿组件2-2/大腿内侧-1;左前腿组件2-2/大腿连杆-1,hl_thigh_i,hl_thigh_joint,joint_hl_thigh,revolute,-0.082498,0.09875,0,0,0,0,Link_hl_hip,0,-1,0,0,0,0,0,,,,,,,,
Link_hl_calf,0.14726,0.0017103,-0.094532,0,0,0,0.68296,0.0020701,-3.5417E-05,0.0022475,0.0049149,2.7954E-05,0.0029648,0,0,0,0,0,0,package://dog1/meshes/Link_hl_calf.STL,0.53333,0.85098,0.82353,1,0,0,0,0,0,0,package://dog1/meshes/Link_hl_calf.STL,,左前腿组件2-2/小腿改-1;左前腿组件2-2/小腿连接臂-1,hl_calf_i,hl_calf_joint,joint_hl_calf,revolute,-0.14441,0.0265,-0.27431,0,0,0,Link_hl_thigh,0,-1,0,0,0,0,0,,,,,,,,
